date,ticker,score,signal
2026-04-28,AAPL,1,Buy
2026-04-28,MSFT,0,Neutral
2026-04-28,NVDA,-1,Sell
2026-04-28,TSLA,-1,Sell
2026-04-28,AAPL,1,Buy
2026-04-28,MSFT,0,Neutral
2026-04-28,NVDA,-1,Sell
2026-04-28,TSLA,-1,Sell
2026-04-28,AAPL,1,Buy
2026-04-28,MSFT,0,Neutral
2026-04-29,AAPL,0,Neutral
2026-04-29,SNAP,0,Neutral
